Date,Open,High,Low,Close,Adj Close,Volume
2017-06-14,24.700001,24.750000,24.549999,24.549999,19.590437,9677000
2017-06-15,24.549999,24.700001,24.500000,24.700001,19.710136,9152000
2017-06-16,24.700001,24.799999,24.600000,24.600000,19.630335,19211000
2017-06-19,24.600000,24.850000,24.600000,24.799999,19.789932,12751000
2017-06-20,24.900000,24.900000,24.799999,24.900000,19.869730,10400000
2017-06-21,24.799999,25.000000,24.750000,24.850000,19.829830,15013000
2017-06-22,24.900000,24.950001,24.799999,24.850000,19.829830,6823000
2017-06-23,24.750000,24.850000,24.600000,24.700001,19.710136,13219000
2017-06-26,24.650000,25.100000,24.600000,25.100000,20.029325,18406000
2017-06-27,25.100000,25.299999,24.950001,25.200001,20.109125,11858000
2017-06-28,25.000000,25.100000,24.850000,24.900000,19.869730,13934000
2017-06-29,25.200001,25.450001,25.200001,25.350000,20.228823,13494000
2017-06-30,25.350000,25.400000,25.100000,25.299999,20.188923,14477000
2017-07-03,25.299999,25.600000,25.250000,25.600000,20.428318,16174000
2017-07-04,25.400000,25.600000,25.350000,25.500000,20.348520,10784000
2017-07-05,25.500000,25.700001,25.400000,25.650000,20.468218,16814000
2017-07-06,25.500000,25.650000,25.350000,25.600000,20.428318,16010000
2017-07-07,25.350000,25.549999,25.250000,25.350000,20.228823,10723000
2017-07-10,25.350000,25.400000,25.200001,25.299999,20.188923,12461000
2017-07-11,25.250000,25.600000,25.200001,25.600000,20.428318,16286000
2017-07-12,25.450001,25.600000,25.400000,25.500000,20.348520,14178000
2017-07-13,25.549999,25.600000,25.450001,25.500000,20.348520,11930000
2017-07-14,25.400000,25.500000,25.350000,25.450001,20.308620,11011000
2017-07-17,25.500000,25.549999,25.350000,25.400000,20.268723,11694000
2017-07-18,25.400000,25.600000,25.400000,25.549999,20.388418,10032000
2017-07-19,25.549999,25.600000,25.500000,25.600000,20.428318,9919000
2017-07-20,25.650000,25.750000,25.549999,25.700001,20.508116,10994000
2017-07-21,25.600000,25.600000,25.350000,25.350000,20.228823,11723000
2017-07-24,25.350000,25.700001,25.299999,25.700001,20.508116,9977000
2017-07-25,25.600000,25.750000,25.549999,25.650000,20.468218,6661000
2017-07-26,25.600000,25.650000,25.500000,25.500000,20.348520,8759000
2017-07-27,25.600000,25.700001,25.549999,25.600000,20.428318,15537000
2017-07-28,25.549999,25.650000,25.500000,25.600000,20.428318,10832000
2017-07-31,25.549999,25.549999,25.450001,25.549999,20.388418,18620000
2017-08-01,25.549999,25.600000,25.500000,25.549999,20.388418,13206000
2017-08-02,25.549999,25.600000,25.500000,25.549999,20.388418,17455000
2017-08-03,25.500000,25.549999,25.400000,25.500000,20.348520,16538000
2017-08-04,25.500000,25.799999,25.450001,25.799999,20.587914,15156000
2017-08-07,25.799999,26.200001,25.799999,26.200001,20.907106,37867000
2017-08-08,26.350000,26.400000,26.049999,26.049999,20.787407,33508000
2017-08-09,25.850000,25.900000,25.650000,25.700001,20.508116,45367000
2017-08-10,23.900000,24.100000,23.799999,23.900000,20.187149,53095000
2017-08-11,23.799999,23.950001,23.750000,23.900000,20.187149,15069000
2017-08-14,24.000000,24.049999,23.799999,23.799999,20.102682,13310000
2017-08-15,24.000000,24.000000,23.750000,23.850000,20.144917,15040000
2017-08-16,23.750000,23.900000,23.750000,23.900000,20.187149,11219000
2017-08-17,24.000000,24.150000,23.799999,24.049999,20.313847,8338000
2017-08-18,24.000000,24.049999,23.799999,23.950001,20.229382,9081000
2017-08-21,23.950001,24.000000,23.850000,23.950001,20.229382,8389986
2017-08-22,23.950001,24.400000,23.900000,24.100000,20.356079,8577850
2017-08-23,24.200001,24.200001,23.950001,24.000000,20.271614,9553942
2017-08-24,24.200001,24.200001,24.049999,24.049999,20.313847,8952218
2017-08-25,24.049999,24.150000,23.950001,23.950001,20.229382,5750616
2017-08-28,24.000000,24.350000,24.000000,24.100000,20.356079,9535458
2017-08-29,24.150000,24.150000,23.950001,24.000000,20.271614,6685750
2017-08-30,24.049999,24.200001,23.950001,24.100000,20.356079,12472830
2017-08-31,24.200001,24.250000,24.049999,24.250000,20.482775,14404198
2017-09-01,24.250000,24.250000,23.950001,24.049999,20.313847,9053648
2017-09-04,24.000000,24.049999,23.900000,23.900000,20.187149,8516349
2017-09-05,24.049999,24.049999,23.850000,23.950001,20.229382,11071865
2017-09-06,23.950001,24.000000,23.799999,23.799999,20.102682,13083750
2017-09-07,23.850000,23.950001,23.750000,23.799999,20.102682,12055906
2017-09-08,23.950001,23.950001,23.750000,23.950001,20.229382,15229041
2017-09-11,24.000000,24.000000,23.799999,23.850000,20.144917,11977095
2017-09-12,23.950001,23.950001,23.750000,23.850000,20.144917,12515569
2017-09-13,23.799999,23.900000,23.750000,23.799999,20.102682,6811505
2017-09-14,23.799999,23.900000,23.750000,23.799999,20.102682,10050816
2017-09-15,23.850000,23.850000,23.700001,23.799999,20.102682,22563709
2017-09-18,23.850000,23.850000,23.650000,23.700001,20.018219,14252606
2017-09-19,23.700001,23.799999,23.700001,23.750000,20.060450,5634489
2017-09-20,23.700001,23.850000,23.700001,23.850000,20.144917,6920047
